Date : 2024-01-12 14:36:48
Directory : /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G
Total : 112 files,  39655 codes, 10239 comments, 8830 blanks, all 58724 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/jobs.c                                 | C            |        130 |         22 |         12 |        164 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/jobs.h                                 | C++          |         15 |         62 |          8 |         85 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/languages/pt.json                      | JSON         |        183 |          0 |          0 |        183 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/list.c                                 | C            |        131 |         57 |         16 |        204 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/list.h                                 | C++          |         19 |          1 |          5 |         25 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/logger.h                               | C++          |          9 |         10 |          5 |         24 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/md5.c                                  | C            |         16 |         20 |          5 |         41 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/md5.h                                  | C++          |         14 |          9 |          5 |         28 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/nvs.h                                  | C++          |         97 |          9 |         46 |        152 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/pcf85063.c                             | C            |        171 |         39 |         47 |        257 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/pcf85063.h                             | C++          |        118 |         12 |         35 |        165 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/rele.c                                 | C            |      2,374 |        318 |        434 |      3,126 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/rele.h                                 | C++          |         48 |         11 |         26 |         85 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/routines.c                             | C            |      1,346 |        187 |        278 |      1,811 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/routines.h                             | C++          |         61 |          9 |         36 |        106 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/rtc.c                                  | C            |          0 |        165 |         45 |        210 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/rtc.h                                  | C++          |          0 |        118 |         34 |        152 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/sdCard.c                               | C            |        379 |         91 |        116 |        586 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/sdCard.h                               | C++          |         56 |         13 |         20 |         89 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/system.c                               | C            |      2,058 |        362 |        339 |      2,759 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/system.h                               | C++          |         45 |         11 |         27 |         83 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/timegm1.c                              | C            |         53 |         40 |         14 |        107 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/timegm1.h                              | C++          |          8 |          0 |          5 |         13 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/timer.c                                | C            |        592 |        195 |        136 |        923 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/timer.h                                | C++          |         67 |         20 |         28 |        115 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/users.c                                | C            |      4,248 |        615 |        710 |      5,573 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/users.h                                | C++          |        107 |         13 |         40 |        160 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/utf8.c                                 | C            |        588 |        171 |        149 |        908 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/utf8.h                                 | C++          |         57 |         89 |         31 |        177 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/merge_bin_esp.py                            | Python       |         75 |          0 |         11 |         86 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/Makefile                           | Makefile     |        124 |          4 |         26 |        154 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/README.md                          | Markdown     |         79 |          0 |         38 |        117 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/build_all_configs.sh               | Shell Script |         11 |          8 |          9 |         28 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/format.sh                          | Shell Script |          8 |          2 |          1 |         11 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/include/sdkconfig.h                | C++          |          0 |          1 |          1 |          2 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/include/spiffs_config.h            | C++          |        157 |        153 |         35 |        345 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/main.cpp                           | C++          |        546 |         86 |        137 |        769 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/FUZZING.md                  | Markdown     |         33 |          0 |         15 |         48 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/README.md                   | Markdown     |        172 |          0 |         41 |        213 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/files.mk                    | Makefile     |         12 |          0 |          2 |         14 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/makefile                    | Makefile     |        112 |         24 |         28 |        164 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/default/spiffs_config.h | C++          |        171 |        155 |         37 |        363 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs.h                | C++          |        277 |        444 |         96 |        817 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_cache.c          | C            |        237 |         42 |         41 |        320 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_check.c          | C            |        725 |        178 |         93 |        996 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_gc.c             | C            |        462 |         91 |         54 |        607 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_hydrogen.c       | C            |      1,174 |         41 |        237 |      1,452 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_nucleus.c        | C            |      1,857 |        250 |        253 |      2,360 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/spiffs_nucleus.h        | C++          |        522 |        204 |        117 |        843 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/main.c             | C            |         10 |          0 |          3 |         13 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/params_test.h      | C++          |         48 |         25 |         12 |         85 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_bugreports.c  | C            |        952 |         68 |        247 |      1,267 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_check.c       | C            |        301 |         36 |         91 |        428 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_dev.c         | C            |         77 |         21 |         25 |        123 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_hydrogen.c    | C            |      1,994 |        103 |        411 |      2,508 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_spiffs.c      | C            |        871 |        139 |        102 |      1,112 |
| /home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/spiffs/src/test/test_spiffs.h      | C++          |         86 |          6 |         18 |        110 |
