"filename", "language", "Markdown", "CMake", "Python", "C++", "Makefile", "C", "JSON", "Shell Script", "comment", "blank", "total"
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/pcf85063.h", "C++", 0, 0, 0, 118, 0, 0, 0, 0, 12, 35, 165
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/rele.c", "C", 0, 0, 0, 0, 0, 2374, 0, 0, 318, 434, 3126
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/rele.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 11, 26, 85
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/routines.c", "C", 0, 0, 0, 0, 0, 1346, 0, 0, 187, 278, 1811
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/routines.h", "C++", 0, 0, 0, 61, 0, 0, 0, 0, 9, 36, 106
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/rtc.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 165, 45, 210
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/rtc.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 118, 34, 152
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/sdCard.c", "C", 0, 0, 0, 0, 0, 379, 0, 0, 91, 116, 586
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/sdCard.h", "C++", 0, 0, 0, 56, 0, 0, 0, 0, 13, 20, 89
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/system.c", "C", 0, 0, 0, 0, 0, 2058, 0, 0, 362, 339, 2759
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/system.h", "C++", 0, 0, 0, 45, 0, 0, 0, 0, 11, 27, 83
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/timegm1.c", "C", 0, 0, 0, 0, 0, 53, 0, 0, 40, 14, 107
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/timegm1.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/timer.c", "C", 0, 0, 0, 0, 0, 592, 0, 0, 195, 136, 923
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/timer.h", "C++", 0, 0, 0, 67, 0, 0, 0, 0, 20, 28, 115
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/users.c", "C", 0, 0, 0, 0, 0, 4248, 0, 0, 615, 710, 5573
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/users.h", "C++", 0, 0, 0, 107, 0, 0, 0, 0, 13, 40, 160
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/utf8.c", "C", 0, 0, 0, 0, 0, 588, 0, 0, 171, 149, 908
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/main/utf8.h", "C++", 0, 0, 0, 57, 0, 0, 0, 0, 89, 31, 177
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/merge_bin_esp.py", "Python", 0, 0, 75, 0, 0, 0, 0, 0, 0, 11, 86
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/Makefile", "Makefile", 0, 0, 0, 0, 124, 0, 0, 0, 4, 26, 154
"/home/joaobaptista/esp/M200_DADOS_4G/M200_4G/M200_4G/mkspiffs/README.md", "Markdown", 79, 0, 0, 0, 0, 0, 0, 0, 0, 38, 117
